ID,ファイル名,曲タイトル,種類,LoopBegin,LoopEnd,作曲者,コメント
0,000_title,タイトル,0,,,そちゃ,
1,001_opening,オープニング,0,,,ひーちゃん,
2,002_alice1,アリスのテーマ1,0,,,そちゃ,
3,003_alice2,アリスのテーマ2,0,,,そちゃ,
4,004_battle1,戦闘,0,,,haru*,
5,005_battle2,ボス戦,0,,,haru*,
6,006_battle3,ラスボス,0,,,haru*,
7,007_town,町,0,,,そちゃ,
8,008_orivia,オリヴィアのテーマ,0,,,haru*,
9,009_triaina,トリアイナのテーマ,0,,,アトリエ,
10,010_vega,ベガのテーマ,0,,,haru*,
11,011_charlotte,シャルロッテのテーマ,0,,,ひーちゃん,
12,012_pumpking,パンプキングのテーマ,0,,,haru*,
13,013_lily,リリィのテーマ,0,,,ひーちゃん,
14,014_velonica,ヴェロニカのテーマ,0,,,そちゃ,
15,015_raizania,ライザのテーマ,0,,,ひーちゃん,
16,016_event1,タイトル（アレンジ）,0,,,そちゃ,
17,017_event2,牢屋,0,,,アトリエ,
18,018_event3,戦闘準備,0,,,haru*,
19,019_event4,オープニング（アレンジ）,0,,,ひーちゃん,
20,020_event5,日常,0,,,ひーちゃん,
21,021_event6,戦闘勝利,0,,,ひーちゃん,
22,022_event7,,0,,,,
23,023_event8,,0,,,,
24,024_event9,,0,,,,
25,025_event10,,0,,,,
26,026_battle4,裏ボス,0,,,ひーちゃん　,
27,027_alice3,アリスのテーマ3,0,,,ひーちゃん　,
28,028_ending,エンディング,0,,,ひーちゃん　,
